path,usable,culprit,blur_laplacian_var,exposure_hist_entropy,under_over_exposed_ratio,noise_estimate_sigma,compression_artifacts_score,motion_blur_index,skin_patch_detected,skin_area_ratio,exif_orientation
images/training/chiggers/chiggersimage_418.jpg,True,,209.17792670288082,6.63923978805542,0.0,2.9652,0.04100038678038354,0.04769414540797462,True,0.9924609375,1
images/training/chiggers/chiggersimage8.jpg,True,,428.2800288742189,7.272058963775635,0.01200617291033268,8.8956,0.061496005338781023,0.023349209167975657,True,0.8766666666666667,1
images/training/chiggers/chiggersimage25.jpg,False,blur_laplacian_var,16.714057457722024,7.0517258644104,0.0,2.9652,0.032207943411434396,0.5950293411030879,True,0.9413214108296075,1
images/training/chiggers/chiggers_1.jpg,True,,49.06748219826705,7.615196228027344,0.0007210031617432833,4.4478,0.038958039003259996,0.2036431167443015,True,0.46003687995574405,1
images/training/chiggers/chiggersimage377.jpg,True,,245.6388960437982,7.235273361206055,0.00015802468988113105,5.9304,0.05282498153985715,0.040633770498169706,True,0.28011851851851854,1
images/training/chiggers/chiggers_legimage372.jpg,False,blur_laplacian_var,36.57306859228855,6.413295745849609,0.0,1.4826,0.024913625156178194,0.2727382464784162,True,0.9999208657289256,1
images/training/chiggers/chiggersimage104.jpg,False,skin_area_ratio,55.645547720896715,6.905298233032227,0.0,2.9652,0.0397241330614277,0.1793882394494363,True,0.0806701030927835,1
images/training/chiggers/chiggersimage192.jpg,True,,95.84471950762666,6.0063958168029785,7.96083259047009e-05,1.4826,0.03422565740697524,0.104302204795133,True,0.7372328145524022,1
images/training/chiggers/chiggersimage30.jpg,False,noise_estimate_sigma,3874.987592521726,6.715249538421631,2.32504062296357e-05,53.373599999999996,0.09042885724235983,0.002579453398853194,True,0.8877702859800046,1
images/training/chiggers/chigger-bites-bullous.jpg,False,skin_area_ratio,651.6149677760521,6.949007987976074,0.0043372842483222485,7.412999999999999,0.05495322545369466,0.015346486006580387,False,0.04452526340996169,1
images/training/chiggers/chiggersimage476.jpg,False,skin_area_ratio,198.66865981477562,6.407955646514893,0.21472355723381042,2.9652,0.05743989850960526,0.05029900141061408,False,0.030649205906937867,1
images/training/chiggers/chiggersimage374.jpg,False,blur_laplacian_var,35.18627930666667,6.851141929626465,0.0,2.9652,0.03938408271939147,0.28319118581444663,True,0.9394222222222222,1
images/training/chiggers/chiggersimage33.jpg,True,,306.83594741020613,6.789737701416016,0.011065557599067688,2.9652,0.03531149321911382,0.03259329988903496,True,0.8243044222425665,1
images/training/chiggers/chiggers_legimage278.jpg,True,,145.6553164740444,6.4997968673706055,0.0,2.9652,0.035099066005033604,0.06844068704718878,True,0.9746590909090909,1
images/training/chiggers/chiggersimage94.jpg,True,,156.9143860622222,7.249393939971924,0.0,2.9652,0.05787697212368834,0.06367237127306419,True,0.9496888888888889,1
images/training/chiggers/chiggersimage13.jpg,True,,719.1692183638039,6.9619340896606445,0.02369047701358795,14.825999999999999,0.052698672051523246,0.013904933262920046,True,0.8523809523809524,1
images/training/chiggers/chiggersimage408.jpg,True,,159.3742611095364,7.436330795288086,1.984126902243588e-05,4.4478,0.060772368487189796,0.0627453885441496,True,0.6326190476190476,1
images/training/chiggers/chiggers_legimage75.jpg,True,,301.75957750013407,6.810969352722168,0.002084574196487665,4.4478,0.04649224935793409,0.033073173559064056,True,0.9323406789755807,1
images/training/chiggers/chiggersimage102.jpg,True,,68.5112405939823,6.303872108459473,0.0,2.9652,0.034812548581291645,0.14596144760100732,True,0.9965818759936407,1
images/training/chiggers/chiggersimage374 (2).jpg,False,blur_laplacian_var,23.67773688691358,7.154186248779297,0.0,2.9652,0.035265666363286034,0.4215868200711558,True,0.896888888888889,1
images/training/chiggers/chiggersimage290.jpg,True,,583.0434706959708,6.297579765319824,0.022161172702908516,4.4478,0.054335409052231734,0.01715137976060646,True,0.6043040293040293,1
images/training/chiggers/chiggersimage219.jpg,True,,300.7746615661621,7.045448303222656,0.00027343747206032276,2.9652,0.05532249749875536,0.03323449410503831,True,0.9042187500000001,1
images/training/chiggers/chiggersimage207.jpg,True,,79.55834199469328,7.053224563598633,0.0,5.9304,0.030482080870983648,0.12544095817898174,True,0.999798747763864,1
images/training/chiggers/chiggersimage53.jpg,True,,410.3279903620999,6.467965126037598,0.10086438059806824,2.9652,0.033141676584879556,0.024329585103977796,True,0.892935916542474,1
images/training/chiggers/chiggersimage22.jpg,True,,50.85978209530333,7.145472526550293,0.0,2.9652,0.033882856369018555,0.19663847134876097,True,0.9825561825561826,1
images/training/chiggers/chiggersimage202.jpg,False,blur_laplacian_var,37.805683966456364,6.4150390625,0.0,1.4826,0.024854621700212066,0.2640028860241539,True,0.9999406492966941,1
images/training/chiggers/chiggersimage108.jpg,True,,438.37347358111094,7.466401100158691,0.0019105998799204826,5.9304,0.05149365032420439,0.022772555340460566,True,0.8508338972256497,1
images/training/chiggers/chiggersimage90.jpg,True,,301.75957750013407,6.810969352722168,0.002084574196487665,4.4478,0.04649224935793409,0.033073173559064056,True,0.9323406789755807,1
images/training/chiggers/chiggersimage87.jpg,True,,714.7504366808565,7.076317310333252,0.007623913697898388,4.4478,0.0406892739090265,0.013985633337550785,True,0.9492861244777124,1
images/training/chiggers/chiggersimage191.jpg,True,,449.3480399738623,7.131093502044678,0.0,10.3782,0.05832949058682311,0.02225623608282747,True,0.7135891414241929,1
images/training/chiggers/chiggersimage_10.jpg,True,,83.80536320613541,6.306863307952881,0.00481140473857522,1.4826,0.029475964751898075,0.11924141238131386,True,0.8732402732402732,1
images/training/chiggers/chiggers_legimage17.jpg,True,,483.17668409878206,7.50191593170166,0.00025872705737128854,4.4478,0.059168039583692364,0.020689772448095216,True,0.1931098992954663,1
images/training/chiggers/chiggersimage369.jpg,True,,451.4167179683236,7.215717792510986,0.0,5.9304,0.09173261605057062,0.022162308432208535,True,0.8411712511091393,1
images/training/chiggers/chiggers_legimage105.jpg,True,,2065.918614588497,6.64023494720459,0.19476178288459778,4.4478,0.07092582104252834,0.004840847072972178,True,0.6808502169326912,1
images/training/chiggers/chiggersimage4.jpg,True,,118.25459839209877,6.307271957397461,0.0,2.9652,0.03131641780628878,0.08433780491078054,True,0.9964,1
images/training/chiggers/chiggersimage37.jpg,True,,282.17832195609725,6.028349876403809,0.0,10.3782,0.03679467743518306,0.03534014277834429,True,0.963015873015873,1
